device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 6.8K
training episode combinations 900 | 50000 steps
step   1950  L=0.3929  src=0.0412  tgt=0.1757  trans=0.1758  gain=-0.0001  |dz|=2.353  3.7 it/s
step   2000  L=0.4458  src=0.0723  tgt=0.1866  trans=0.1867  gain=-0.0000  |dz|=1.959  3.8 it/s
  [diagnostics @ 2000] loss_correct=0.1161  loss_zero=0.1202  loss_shuffled=0.1192  loss_random=0.1204  loss_target_only=0.1172  loss_mean_z=0.1196  r_basis=0.0256  |dz_transport|=1.0831  z_s_vs_enc_rel=3.3486  z_spread_rel=1.1370  gain_vs_zero=0.0041  gain_vs_shuffled=0.0031  gain_vs_target_only=0.0012  gain_vs_mean_z=0.0036  delta_task=0.0036  z_center_norm=0.1296  task_specific_frac=0.8738
  saved /opt/ml/code/checkpoints/film128_step2000.pt
step   2050  L=0.1635  src=0.0994  tgt=0.0325  trans=0.0315  gain=+0.0010  |dz|=0.671  3.6 it/s
step   2100  L=0.1466  src=0.0625  tgt=0.0421  trans=0.0420  gain=+0.0001  |dz|=0.731  3.6 it/s
step   2150  L=0.1380  src=0.0441  tgt=0.0472  trans=0.0466  gain=+0.0006  |dz|=0.722  3.6 it/s
step   2200  L=0.1186  src=0.0370  tgt=0.0416  trans=0.0400  gain=+0.0016  |dz|=1.731  3.6 it/s
step   2250  L=0.1502  src=0.0865  tgt=0.0319  trans=0.0319  gain=-0.0000  |dz|=0.781  3.7 it/s
step   2300  L=0.1134  src=0.0288  tgt=0.0422  trans=0.0423  gain=-0.0001  |dz|=0.807  3.7 it/s
step   2350  L=0.1313  src=0.0623  tgt=0.0345  trans=0.0344  gain=+0.0000  |dz|=0.856  3.7 it/s
step   2400  L=0.4083  src=0.0812  tgt=0.1636  trans=0.1633  gain=+0.0003  |dz|=1.991  3.7 it/s
step   2450  L=0.1230  src=0.0558  tgt=0.0338  trans=0.0333  gain=+0.0005  |dz|=1.889  3.7 it/s
step   2500  L=0.1074  src=0.0674  tgt=0.0199  trans=0.0199  gain=-0.0000  |dz|=1.811  3.7 it/s
  [diagnostics @ 2500] loss_correct=0.0951  loss_zero=0.0985  loss_shuffled=0.0986  loss_random=0.0989  loss_target_only=0.0957  loss_mean_z=0.0983  r_basis=0.0282  |dz_transport|=1.3047  z_s_vs_enc_rel=4.2092  z_spread_rel=1.2408  gain_vs_zero=0.0035  gain_vs_shuffled=0.0036  gain_vs_target_only=0.0007  gain_vs_mean_z=0.0033  delta_task=0.0033  z_center_norm=0.0868  task_specific_frac=0.9448
step   2550  L=0.0774  src=0.0326  tgt=0.0225  trans=0.0221  gain=+0.0004  |dz|=1.527  3.6 it/s
step   2600  L=0.1055  src=0.0730  tgt=0.0163  trans=0.0161  gain=+0.0002  |dz|=0.911  3.6 it/s
step   2650  L=0.1150  src=0.0600  tgt=0.0278  trans=0.0271  gain=+0.0007  |dz|=1.756  3.6 it/s
step   2700  L=0.0871  src=0.0340  tgt=0.0265  trans=0.0265  gain=-0.0000  |dz|=0.930  3.6 it/s
step   2750  L=0.1308  src=0.0667  tgt=0.0322  trans=0.0319  gain=+0.0002  |dz|=0.953  3.6 it/s
step   2800  L=0.1492  src=0.0562  tgt=0.0464  trans=0.0465  gain=-0.0002  |dz|=1.791  3.7 it/s
step   2850  L=0.4371  src=0.0646  tgt=0.1861  trans=0.1862  gain=-0.0001  |dz|=2.129  3.7 it/s
step   2900  L=0.1280  src=0.0728  tgt=0.0277  trans=0.0273  gain=+0.0003  |dz|=1.625  3.7 it/s
step   2950  L=0.3765  src=0.1092  tgt=0.1336  trans=0.1336  gain=+0.0000  |dz|=1.851  3.7 it/s
step   3000  L=0.1171  src=0.0627  tgt=0.0275  trans=0.0268  gain=+0.0007  |dz|=1.645  3.7 it/s
  [diagnostics @ 3000] loss_correct=0.0536  loss_zero=0.0553  loss_shuffled=0.0582  loss_random=0.0553  loss_target_only=0.0539  loss_mean_z=0.0552  r_basis=0.0236  |dz_transport|=1.1496  z_s_vs_enc_rel=3.1627  z_spread_rel=1.1536  gain_vs_zero=0.0017  gain_vs_shuffled=0.0046  gain_vs_target_only=0.0003  gain_vs_mean_z=0.0016  delta_task=0.0016  z_center_norm=0.0624  task_specific_frac=0.9294
step   3050  L=0.4726  src=0.0554  tgt=0.2085  trans=0.2085  gain=-0.0000  |dz|=1.788  3.6 it/s
step   3100  L=0.1144  src=0.0553  tgt=0.0295  trans=0.0296  gain=-0.0001  |dz|=1.063  3.6 it/s
step   3150  L=0.1913  src=0.0592  tgt=0.0662  trans=0.0659  gain=+0.0003  |dz|=1.092  3.6 it/s
step   3200  L=0.1101  src=0.0618  tgt=0.0242  trans=0.0241  gain=+0.0001  |dz|=1.107  3.6 it/s
step   3250  L=0.1340  src=0.0668  tgt=0.0334  trans=0.0337  gain=-0.0003  |dz|=1.115  3.6 it/s
step   3300  L=0.4976  src=0.0355  tgt=0.2309  trans=0.2310  gain=-0.0002  |dz|=1.673  3.6 it/s
step   3350  L=0.3164  src=0.0447  tgt=0.1358  trans=0.1358  gain=-0.0001  |dz|=1.639  3.7 it/s
step   3400  L=0.1003  src=0.0635  tgt=0.0183  trans=0.0184  gain=-0.0001  |dz|=1.785  3.7 it/s
step   3450  L=0.1122  src=0.0558  tgt=0.0282  trans=0.0281  gain=+0.0001  |dz|=1.139  3.7 it/s
step   3500  L=0.0878  src=0.0391  tgt=0.0244  trans=0.0243  gain=+0.0001  |dz|=1.174  3.7 it/s
  [diagnostics @ 3500] loss_correct=0.0855  loss_zero=0.0891  loss_shuffled=0.0940  loss_random=0.0897  loss_target_only=0.0857  loss_mean_z=0.0889  r_basis=0.0342  |dz_transport|=1.3796  z_s_vs_enc_rel=3.4574  z_spread_rel=1.1986  gain_vs_zero=0.0037  gain_vs_shuffled=0.0086  gain_vs_target_only=0.0002  gain_vs_mean_z=0.0034  delta_task=0.0034  z_center_norm=0.0614  task_specific_frac=0.9330
step   3550  L=0.3604  src=0.1003  tgt=0.1300  trans=0.1300  gain=-0.0000  |dz|=1.372  3.6 it/s
step   3600  L=0.1332  src=0.0513  tgt=0.0409  trans=0.0409  gain=+0.0000  |dz|=1.719  3.6 it/s
step   3650  L=0.1223  src=0.0297  tgt=0.0469  trans=0.0456  gain=+0.0013  |dz|=1.791  3.6 it/s
step   3700  L=0.4752  src=0.1071  tgt=0.1840  trans=0.1840  gain=+0.0000  |dz|=1.423  3.6 it/s
