device cuda | backbone small_unet | k=16
step   1800  L=0.1509  src=0.0823  tgt=0.0342  trans=0.0343  gain=-0.0000  |dz|=0.106  6.2 it/s
step   1850  L=0.1405  src=0.0686  tgt=0.0359  trans=0.0359  gain=+0.0000  |dz|=0.109  6.2 it/s
step   1900  L=0.1455  src=0.0606  tgt=0.0425  trans=0.0424  gain=+0.0001  |dz|=0.113  6.2 it/s
step   1950  L=0.2742  src=0.0643  tgt=0.1049  trans=0.1049  gain=-0.0000  |dz|=0.218  6.2 it/s
step   2000  L=0.3385  src=0.0878  tgt=0.1255  trans=0.1251  gain=+0.0003  |dz|=0.220  6.3 it/s
  [diagnostics @ 2000] loss_correct=0.1183  loss_zero=0.1883  loss_shuffled=0.1187  loss_random=0.1916  loss_target_only=0.1180  loss_mean_z=0.1256  r_basis=0.2907  |dz_transport|=0.1130  z_s_vs_enc_rel=0.0613  z_spread_rel=0.1146  gain_vs_zero=0.0700  gain_vs_shuffled=0.0004  gain_vs_target_only=-0.0002  gain_vs_mean_z=0.0073  delta_task=0.0073  z_center_norm=0.5947  task_specific_frac=0.1048
  saved /opt/ml/code/checkpoints/ctr128_off_step2000.pt
step   2050  L=0.1008  src=0.0547  tgt=0.0230  trans=0.0230  gain=-0.0000  |dz|=0.115  6.1 it/s
step   2100  L=0.1863  src=0.0620  tgt=0.0621  trans=0.0622  gain=-0.0000  |dz|=0.111  6.1 it/s
step   2150  L=0.1565  src=0.0854  tgt=0.0354  trans=0.0356  gain=-0.0002  |dz|=0.110  6.2 it/s
step   2200  L=0.0769  src=0.0409  tgt=0.0181  trans=0.0179  gain=+0.0002  |dz|=0.156  6.2 it/s
step   2250  L=0.1128  src=0.0666  tgt=0.0231  trans=0.0231  gain=-0.0000  |dz|=0.114  6.2 it/s
step   2300  L=0.1608  src=0.0936  tgt=0.0336  trans=0.0336  gain=+0.0001  |dz|=0.113  6.2 it/s
step   2350  L=0.1180  src=0.0559  tgt=0.0312  trans=0.0310  gain=+0.0002  |dz|=0.110  6.2 it/s
step   2400  L=0.4279  src=0.0553  tgt=0.1864  trans=0.1861  gain=+0.0004  |dz|=0.221  6.2 it/s
step   2450  L=0.0881  src=0.0518  tgt=0.0180  trans=0.0183  gain=-0.0003  |dz|=0.173  6.2 it/s
step   2500  L=0.1352  src=0.0772  tgt=0.0290  trans=0.0290  gain=+0.0000  |dz|=0.172  6.2 it/s
  [diagnostics @ 2500] loss_correct=0.0887  loss_zero=0.1504  loss_shuffled=0.0890  loss_random=0.1534  loss_target_only=0.0887  loss_mean_z=0.0938  r_basis=0.2967  |dz_transport|=0.1334  z_s_vs_enc_rel=0.0734  z_spread_rel=0.1470  gain_vs_zero=0.0617  gain_vs_shuffled=0.0003  gain_vs_target_only=0.0000  gain_vs_mean_z=0.0051  delta_task=0.0051  z_center_norm=0.5183  task_specific_frac=0.0824
step   2550  L=0.0813  src=0.0345  tgt=0.0235  trans=0.0233  gain=+0.0002  |dz|=0.176  6.1 it/s
step   2600  L=0.0828  src=0.0356  tgt=0.0237  trans=0.0235  gain=+0.0002  |dz|=0.110  6.2 it/s
step   2650  L=0.1622  src=0.0963  tgt=0.0330  trans=0.0329  gain=+0.0001  |dz|=0.168  6.2 it/s
step   2700  L=0.1482  src=0.0786  tgt=0.0347  trans=0.0347  gain=+0.0000  |dz|=0.111  6.2 it/s
step   2750  L=0.1094  src=0.0636  tgt=0.0230  trans=0.0228  gain=+0.0002  |dz|=0.112  6.2 it/s
step   2800  L=0.1523  src=0.0798  tgt=0.0363  trans=0.0361  gain=+0.0002  |dz|=0.171  6.2 it/s
step   2850  L=0.3224  src=0.0645  tgt=0.1289  trans=0.1289  gain=+0.0000  |dz|=0.212  6.2 it/s
step   2900  L=0.0922  src=0.0393  tgt=0.0265  trans=0.0264  gain=+0.0001  |dz|=0.170  6.2 it/s
step   2950  L=0.4716  src=0.0590  tgt=0.2061  trans=0.2064  gain=-0.0003  |dz|=0.214  6.2 it/s
step   3000  L=0.1408  src=0.0619  tgt=0.0396  trans=0.0393  gain=+0.0003  |dz|=0.172  6.2 it/s
  [diagnostics @ 3000] loss_correct=0.0513  loss_zero=0.1071  loss_shuffled=0.0515  loss_random=0.1105  loss_target_only=0.0514  loss_mean_z=0.0553  r_basis=0.2911  |dz_transport|=0.1275  z_s_vs_enc_rel=0.1091  z_spread_rel=0.1252  gain_vs_zero=0.0558  gain_vs_shuffled=0.0002  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0040  delta_task=0.0040  z_center_norm=0.4530  task_specific_frac=0.0712
step   3050  L=0.2996  src=0.0384  tgt=0.1306  trans=0.1305  gain=+0.0001  |dz|=0.203  6.1 it/s
step   3100  L=0.1530  src=0.0851  tgt=0.0339  trans=0.0340  gain=-0.0000  |dz|=0.109  6.2 it/s
step   3150  L=0.1608  src=0.0837  tgt=0.0385  trans=0.0386  gain=-0.0000  |dz|=0.108  6.2 it/s
step   3200  L=0.1462  src=0.0557  tgt=0.0453  trans=0.0453  gain=-0.0000  |dz|=0.106  6.2 it/s
step   3250  L=0.1202  src=0.0510  tgt=0.0346  trans=0.0346  gain=+0.0000  |dz|=0.107  6.2 it/s
step   3300  L=0.2663  src=0.0483  tgt=0.1091  trans=0.1088  gain=+0.0003  |dz|=0.194  6.2 it/s
step   3350  L=0.3363  src=0.0488  tgt=0.1437  trans=0.1438  gain=-0.0001  |dz|=0.195  6.2 it/s
step   3400  L=0.1038  src=0.0575  tgt=0.0231  trans=0.0232  gain=-0.0001  |dz|=0.174  6.2 it/s
step   3450  L=0.0777  src=0.0548  tgt=0.0115  trans=0.0115  gain=-0.0000  |dz|=0.110  6.2 it/s
step   3500  L=0.1393  src=0.0474  tgt=0.0459  trans=0.0460  gain=-0.0001  |dz|=0.110  6.2 it/s
  [diagnostics @ 3500] loss_correct=0.0799  loss_zero=0.1244  loss_shuffled=0.0803  loss_random=0.1276  loss_target_only=0.0800  loss_mean_z=0.0822  r_basis=0.2694  |dz_transport|=0.1502  z_s_vs_enc_rel=0.1343  z_spread_rel=0.2290  gain_vs_zero=0.0445  gain_vs_shuffled=0.0004  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0023  delta_task=0.0023  z_center_norm=0.3958  task_specific_frac=0.0507
step   3550  L=0.4845  src=0.0857  tgt=0.1994  trans=0.1993  gain=+0.0001  |dz|=0.205  6.1 it/s
step   3600  L=0.1418  src=0.0978  tgt=0.0221  trans=0.0219  gain=+0.0002  |dz|=0.174  6.2 it/s
step   3650  L=0.1475  src=0.0687  tgt=0.0394  trans=0.0395  gain=-0.0001  |dz|=0.178  6.2 it/s
step   3700  L=0.4897  src=0.1210  tgt=0.1844  trans=0.1843  gain=+0.0001  |dz|=0.200  6.2 it/s
step   3750  L=0.1288  src=0.0810  tgt=0.0239  trans=0.0239  gain=+0.0000  |dz|=0.179  6.2 it/s
step   3800  L=0.4643  src=0.0840  tgt=0.1903  trans=0.1899  gain=+0.0004  |dz|=0.226  6.2 it/s
step   3850  L=0.1666  src=0.0605  tgt=0.0531  trans=0.0530  gain=+0.0001  |dz|=0.114  6.2 it/s
step   3900  L=0.0910  src=0.0494  tgt=0.0208  trans=0.0208  gain=-0.0000  |dz|=0.113  6.2 it/s
step   3950  L=0.3382  src=0.0474  tgt=0.1454  trans=0.1454  gain=+0.0000  |dz|=0.233  6.2 it/s
step   4000  L=0.0785  src=0.0305  tgt=0.0240  trans=0.0240  gain=+0.0000  |dz|=0.113  6.2 it/s
  [diagnostics @ 4000] loss_correct=0.0775  loss_zero=0.1149  loss_shuffled=0.0779  loss_random=0.1173  loss_target_only=0.0776  loss_mean_z=0.0790  r_basis=0.2474  |dz_transport|=0.1613  z_s_vs_enc_rel=0.1579  z_spread_rel=0.2903  gain_vs_zero=0.0375  gain_vs_shuffled=0.0005  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0016  delta_task=0.0016  z_center_norm=0.3517  task_specific_frac=0.0420
    ⚠ gain_vs_zero=0.0375 looks healthy but only 4.2% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
  saved /opt/ml/code/checkpoints/ctr128_off_step4000.pt
step   4050  L=0.1128  src=0.0626  tgt=0.0252  trans=0.0250  gain=+0.0002  |dz|=0.185  6.1 it/s
step   4100  L=0.1117  src=0.0368  tgt=0.0375  trans=0.0373  gain=+0.0002  |dz|=0.180  6.2 it/s
step   4150  L=0.0831  src=0.0545  tgt=0.0143  trans=0.0143  gain=-0.0000  |dz|=0.180  6.2 it/s
step   4200  L=0.3697  src=0.0574  tgt=0.1562  trans=0.1561  gain=+0.0000  |dz|=0.214  6.2 it/s
step   4250  L=0.1006  src=0.0578  tgt=0.0214  trans=0.0214  gain=-0.0000  |dz|=0.178  6.2 it/s
step   4300  L=0.3996  src=0.0502  tgt=0.1747  trans=0.1746  gain=+0.0001  |dz|=0.207  6.2 it/s
step   4350  L=0.1199  src=0.0738  tgt=0.0231  trans=0.0229  gain=+0.0002  |dz|=0.185  6.2 it/s
step   4400  L=0.1243  src=0.0625  tgt=0.0309  trans=0.0309  gain=-0.0000  |dz|=0.187  6.2 it/s
step   4450  L=0.1286  src=0.0678  tgt=0.0304  trans=0.0304  gain=-0.0000  |dz|=0.114  6.2 it/s
step   4500  L=0.1186  src=0.0560  tgt=0.0312  trans=0.0314  gain=-0.0002  |dz|=0.180  6.2 it/s
  [diagnostics @ 4500] loss_correct=0.0911  loss_zero=0.1222  loss_shuffled=0.0914  loss_random=0.1246  loss_target_only=0.0912  loss_mean_z=0.0921  r_basis=0.2244  |dz_transport|=0.1681  z_s_vs_enc_rel=0.2386  z_spread_rel=0.3433  gain_vs_zero=0.0311  gain_vs_shuffled=0.0003  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0010  delta_task=0.0010  z_center_norm=0.3193  task_specific_frac=0.0327
    ⚠ gain_vs_zero=0.0311 looks healthy but only 3.3% of it is task-specific: one shared mean coordinate does just as well, so the basis is a constant offset, not adaptation
step   4550  L=0.1537  src=0.0906  tgt=0.0315  trans=0.0316  gain=-0.0001  |dz|=0.192  6.1 it/s
step   4600  L=0.1242  src=0.0501  tgt=0.0371  trans=0.0371  gain=+0.0000  |dz|=0.113  6.2 it/s
step   4650  L=0.3266  src=0.0924  tgt=0.1171  trans=0.1170  gain=+0.0001  |dz|=0.191  6.2 it/s
step   4700  L=0.0879  src=0.0433  tgt=0.0223  trans=0.0222  gain=+0.0001  |dz|=0.115  6.2 it/s
step   4750  L=0.1332  src=0.0696  tgt=0.0318  trans=0.0318  gain=-0.0000  |dz|=0.110  6.2 it/s
step   4800  L=0.2852  src=0.0531  tgt=0.1161  trans=0.1160  gain=+0.0000  |dz|=0.201  6.2 it/s
step   4850  L=0.1197  src=0.0468  tgt=0.0365  trans=0.0365  gain=-0.0000  |dz|=0.111  6.2 it/s
step   4900  L=0.3214  src=0.0611  tgt=0.1303  trans=0.1300  gain=+0.0003  |dz|=0.213  6.2 it/s
step   4950  L=0.0887  src=0.0373  tgt=0.0257  trans=0.0257  gain=+0.0001  |dz|=0.174  6.2 it/s
step   5000  L=0.3809  src=0.0713  tgt=0.1547  trans=0.1549  gain=-0.0002  |dz|=0.322  6.2 it/s
