REPLAY cifar_train25_film_k16: source checkpoint configuration, transport=linear
device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 0.4K
training episode combinations 225 | 50000 steps

step      1  L=3.2735  src=1.0849  tgt=1.0936  trans=1.0950  gain=-0.0014  |dz|=0.000  1.4 it/s
step     50  L=1.1451  src=0.4172  tgt=0.3645  trans=0.3633  gain=+0.0012  |dz|=0.005  7.4 it/s
step    100  L=0.5608  src=0.2055  tgt=0.1777  trans=0.1773  gain=+0.0004  |dz|=0.041  7.8 it/s
step    150  L=0.3526  src=0.1578  tgt=0.0973  trans=0.0974  gain=-0.0001  |dz|=0.099  7.9 it/s
step    200  L=0.3419  src=0.1001  tgt=0.1210  trans=0.1207  gain=+0.0003  |dz|=0.155  8.0 it/s
step    250  L=0.3431  src=0.1056  tgt=0.1186  trans=0.1189  gain=-0.0003  |dz|=0.150  8.0 it/s
step    300  L=0.2455  src=0.0921  tgt=0.0766  trans=0.0767  gain=-0.0002  |dz|=0.135  8.0 it/s
step    350  L=0.7075  src=0.0545  tgt=0.3268  trans=0.3262  gain=+0.0006  |dz|=0.160  8.1 it/s
step    400  L=0.4090  src=0.0739  tgt=0.1677  trans=0.1674  gain=+0.0003  |dz|=0.187  8.1 it/s
step    450  L=0.4984  src=0.1245  tgt=0.1870  trans=0.1868  gain=+0.0001  |dz|=0.241  8.1 it/s
step    500  L=0.0790  src=0.0244  tgt=0.0271  trans=0.0275  gain=-0.0004  |dz|=0.241  8.1 it/s
step    550  L=0.1850  src=0.1348  tgt=0.0251  trans=0.0251  gain=+0.0000  |dz|=0.254  8.1 it/s
step    600  L=0.5380  src=0.0792  tgt=0.2302  trans=0.2286  gain=+0.0016  |dz|=0.499  8.1 it/s
step    650  L=0.3863  src=0.0597  tgt=0.1638  trans=0.1627  gain=+0.0011  |dz|=0.521  8.1 it/s
step    700  L=0.3942  src=0.0551  tgt=0.1696  trans=0.1694  gain=+0.0002  |dz|=0.555  8.1 it/s
step    750  L=0.4418  src=0.0552  tgt=0.1951  trans=0.1915  gain=+0.0036  |dz|=0.532  8.1 it/s
step    800  L=0.2686  src=0.1252  tgt=0.0718  trans=0.0715  gain=+0.0003  |dz|=0.236  8.1 it/s
step    850  L=0.2315  src=0.0833  tgt=0.0739  trans=0.0743  gain=-0.0004  |dz|=0.252  8.1 it/s
step    900  L=0.1826  src=0.1072  tgt=0.0377  trans=0.0376  gain=+0.0001  |dz|=0.026  8.1 it/s
step    950  L=0.1302  src=0.0500  tgt=0.0402  trans=0.0400  gain=+0.0001  |dz|=0.022  8.1 it/s
step   1000  L=0.1094  src=0.0520  tgt=0.0286  trans=0.0287  gain=-0.0001  |dz|=0.086  8.1 it/s
step   1050  L=0.1385  src=0.0595  tgt=0.0397  trans=0.0394  gain=+0.0003  |dz|=0.024  8.1 it/s
step   1100  L=0.4730  src=0.1119  tgt=0.1813  trans=0.1799  gain=+0.0014  |dz|=0.559  8.1 it/s
step   1150  L=0.1424  src=0.0559  tgt=0.0434  trans=0.0430  gain=+0.0004  |dz|=0.105  8.1 it/s
step   1200  L=0.4318  src=0.0726  tgt=0.1796  trans=0.1796  gain=-0.0000  |dz|=0.524  8.1 it/s
step   1250  L=0.1112  src=0.0465  tgt=0.0324  trans=0.0323  gain=+0.0001  |dz|=0.027  8.1 it/s
step   1300  L=0.0872  src=0.0346  tgt=0.0264  trans=0.0262  gain=+0.0002  |dz|=0.222  8.1 it/s
step   1350  L=0.1184  src=0.0641  tgt=0.0271  trans=0.0272  gain=-0.0001  |dz|=0.032  8.1 it/s
step   1400  L=0.1178  src=0.0581  tgt=0.0298  trans=0.0299  gain=-0.0001  |dz|=0.030  8.1 it/s
step   1450  L=0.1060  src=0.0425  tgt=0.0317  trans=0.0317  gain=+0.0000  |dz|=0.258  8.1 it/s
step   1500  L=0.0927  src=0.0352  tgt=0.0288  trans=0.0288  gain=+0.0000  |dz|=0.120  8.1 it/s
step   1550  L=0.1825  src=0.0793  tgt=0.0516  trans=0.0516  gain=-0.0000  |dz|=0.264  8.1 it/s
step   1600  L=0.1920  src=0.0603  tgt=0.0660  trans=0.0658  gain=+0.0002  |dz|=0.069  8.1 it/s
step   1650  L=0.1212  src=0.0561  tgt=0.0325  trans=0.0325  gain=+0.0000  |dz|=0.242  8.1 it/s
step   1700  L=0.3940  src=0.1154  tgt=0.1393  trans=0.1392  gain=+0.0001  |dz|=0.509  8.1 it/s
step   1750  L=0.0978  src=0.0381  tgt=0.0298  trans=0.0298  gain=+0.0000  |dz|=0.125  8.1 it/s
step   1800  L=0.1272  src=0.0502  tgt=0.0387  trans=0.0384  gain=+0.0003  |dz|=0.095  8.1 it/s
step   1850  L=0.1155  src=0.0527  tgt=0.0313  trans=0.0315  gain=-0.0002  |dz|=0.074  8.1 it/s
step   1900  L=0.1610  src=0.0568  tgt=0.0521  trans=0.0520  gain=+0.0001  |dz|=0.116  8.1 it/s
step   1950  L=0.2795  src=0.0524  tgt=0.1136  trans=0.1135  gain=+0.0001  |dz|=0.509  8.1 it/s
step   2000  L=0.4135  src=0.0383  tgt=0.1877  trans=0.1875  gain=+0.0002  |dz|=0.508  8.1 it/s
  [diagnostics @ 2000] loss_correct=0.0796  loss_zero=0.0802  loss_shuffled=0.0803  loss_random=0.0803  loss_target_only=0.0799  loss_mean_z=0.0801  r_basis=0.0086  |dz_transport|=0.1618  z_s_vs_enc_rel=0.8955  z_spread_rel=1.1489  gain_vs_zero=0.0007  gain_vs_shuffled=0.0007  gain_vs_target_only=0.0003  gain_vs_mean_z=0.0005  delta_task=0.0005  z_center_norm=0.1008  task_specific_frac=0.7818
step   2050  L=0.1208  src=0.0521  tgt=0.0343  trans=0.0344  gain=-0.0000  |dz|=0.112  7.8 it/s
step   2100  L=0.1601  src=0.0797  tgt=0.0402  trans=0.0402  gain=+0.0000  |dz|=0.114  7.8 it/s
step   2150  L=0.1594  src=0.0651  tgt=0.0470  trans=0.0473  gain=-0.0003  |dz|=0.085  7.8 it/s
step   2200  L=0.1442  src=0.0725  tgt=0.0360  trans=0.0357  gain=+0.0003  |dz|=0.329  7.8 it/s
step   2250  L=0.1275  src=0.0462  tgt=0.0406  trans=0.0407  gain=-0.0000  |dz|=0.125  7.8 it/s
step   2300  L=0.1054  src=0.0533  tgt=0.0261  trans=0.0261  gain=+0.0000  |dz|=0.124  7.8 it/s
step   2350  L=0.0985  src=0.0553  tgt=0.0216  trans=0.0216  gain=+0.0000  |dz|=0.127  7.8 it/s
step   2400  L=0.3337  src=0.0510  tgt=0.1413  trans=0.1413  gain=+0.0000  |dz|=0.557  7.8 it/s
step   2450  L=0.1318  src=0.0427  tgt=0.0447  trans=0.0444  gain=+0.0003  |dz|=0.378  7.8 it/s
step   2500  L=0.1412  src=0.0666  tgt=0.0373  trans=0.0373  gain=-0.0000  |dz|=0.367  7.8 it/s
step   2550  L=0.1240  src=0.0798  tgt=0.0223  trans=0.0219  gain=+0.0005  |dz|=0.383  7.9 it/s
step   2600  L=0.1550  src=0.0614  tgt=0.0467  trans=0.0469  gain=-0.0002  |dz|=0.212  7.9 it/s
step   2650  L=0.0951  src=0.0293  tgt=0.0329  trans=0.0329  gain=-0.0000  |dz|=0.423  7.9 it/s
step   2700  L=0.1787  src=0.0946  tgt=0.0419  trans=0.0421  gain=-0.0002  |dz|=0.181  7.9 it/s
step   2750  L=0.1758  src=0.0907  tgt=0.0427  trans=0.0424  gain=+0.0002  |dz|=0.194  7.9 it/s
step   2800  L=0.1464  src=0.0668  tgt=0.0399  trans=0.0397  gain=+0.0002  |dz|=0.464  7.9 it/s
step   2850  L=0.2725  src=0.0459  tgt=0.1134  trans=0.1131  gain=+0.0003  |dz|=0.523  7.9 it/s
step   2900  L=0.0966  src=0.0498  tgt=0.0233  trans=0.0234  gain=-0.0001  |dz|=0.300  7.9 it/s
step   2950  L=0.4666  src=0.1114  tgt=0.1776  trans=0.1775  gain=+0.0000  |dz|=0.468  7.9 it/s
step   3000  L=0.1601  src=0.1056  tgt=0.0274  trans=0.0270  gain=+0.0003  |dz|=0.536  7.9 it/s
step   3050  L=0.4778  src=0.0415  tgt=0.2181  trans=0.2181  gain=+0.0001  |dz|=0.597  7.9 it/s
step   3100  L=0.1478  src=0.0566  tgt=0.0455  trans=0.0457  gain=-0.0002  |dz|=0.275  7.9 it/s
step   3150  L=0.1575  src=0.0764  tgt=0.0405  trans=0.0406  gain=-0.0002  |dz|=0.282  7.9 it/s
step   3200  L=0.1225  src=0.0572  tgt=0.0326  trans=0.0327  gain=-0.0000  |dz|=0.129  7.9 it/s
