REPLAY cifar_train50_film_k16: source checkpoint configuration, transport=linear
device cuda | backbone film_unet | k=16
φ 27.92M + encoder 0.33M + transport 0.4K
training episode combinations 450 | 50000 steps

step   2300  L=0.1207  src=0.0591  tgt=0.0308  trans=0.0308  gain=-0.0001  |dz|=0.163  7.8 it/s
step   2350  L=0.1001  src=0.0525  tgt=0.0238  trans=0.0238  gain=-0.0001  |dz|=0.133  7.8 it/s
step   2400  L=0.3058  src=0.0412  tgt=0.1323  trans=0.1322  gain=+0.0001  |dz|=0.650  7.8 it/s
step   2450  L=0.1228  src=0.0372  tgt=0.0429  trans=0.0427  gain=+0.0002  |dz|=0.312  7.8 it/s
step   2500  L=0.1241  src=0.0548  tgt=0.0346  trans=0.0348  gain=-0.0002  |dz|=0.333  7.8 it/s
step   2550  L=0.1138  src=0.0748  tgt=0.0196  trans=0.0194  gain=+0.0001  |dz|=0.311  7.8 it/s
step   2600  L=0.1535  src=0.0610  tgt=0.0461  trans=0.0463  gain=-0.0002  |dz|=0.182  7.8 it/s
step   2650  L=0.0985  src=0.0336  tgt=0.0325  trans=0.0324  gain=+0.0002  |dz|=0.310  7.8 it/s
step   2700  L=0.2068  src=0.1191  tgt=0.0438  trans=0.0438  gain=-0.0000  |dz|=0.162  7.8 it/s
step   2750  L=0.1790  src=0.0927  tgt=0.0432  trans=0.0431  gain=+0.0002  |dz|=0.204  7.8 it/s
step   2800  L=0.1500  src=0.0684  tgt=0.0408  trans=0.0408  gain=-0.0000  |dz|=0.304  7.8 it/s
step   2850  L=0.2727  src=0.0486  tgt=0.1120  trans=0.1121  gain=-0.0001  |dz|=0.624  7.8 it/s
step   2900  L=0.0969  src=0.0497  tgt=0.0236  trans=0.0235  gain=+0.0002  |dz|=0.182  7.8 it/s
step   2950  L=0.4444  src=0.0998  tgt=0.1722  trans=0.1723  gain=-0.0001  |dz|=0.556  7.9 it/s
step   3000  L=0.1400  src=0.0915  tgt=0.0243  trans=0.0242  gain=+0.0001  |dz|=0.413  7.9 it/s
step   3050  L=0.5106  src=0.0592  tgt=0.2258  trans=0.2256  gain=+0.0002  |dz|=0.525  7.9 it/s
step   3100  L=0.1262  src=0.0462  tgt=0.0400  trans=0.0401  gain=-0.0001  |dz|=0.257  7.9 it/s
step   3150  L=0.1519  src=0.0793  tgt=0.0363  trans=0.0361  gain=+0.0002  |dz|=0.259  7.9 it/s
step   3200  L=0.1500  src=0.0765  tgt=0.0367  trans=0.0367  gain=+0.0000  |dz|=0.201  7.9 it/s
step   3250  L=0.1407  src=0.0476  tgt=0.0468  trans=0.0463  gain=+0.0004  |dz|=0.277  7.9 it/s
step   3300  L=0.3389  src=0.0565  tgt=0.1410  trans=0.1413  gain=-0.0003  |dz|=0.641  7.9 it/s
step   3350  L=0.4682  src=0.0407  tgt=0.2141  trans=0.2134  gain=+0.0007  |dz|=0.614  7.9 it/s
step   3400  L=0.1447  src=0.0779  tgt=0.0335  trans=0.0333  gain=+0.0002  |dz|=0.406  7.9 it/s
step   3450  L=0.1764  src=0.0965  tgt=0.0401  trans=0.0398  gain=+0.0003  |dz|=0.254  7.9 it/s
step   3500  L=0.1455  src=0.0545  tgt=0.0454  trans=0.0456  gain=-0.0002  |dz|=0.312  7.9 it/s
step   3550  L=0.3234  src=0.0646  tgt=0.1297  trans=0.1290  gain=+0.0007  |dz|=0.706  7.9 it/s
step   3600  L=0.1802  src=0.1108  tgt=0.0351  trans=0.0342  gain=+0.0009  |dz|=0.430  7.9 it/s
step   3650  L=0.0781  src=0.0388  tgt=0.0198  trans=0.0195  gain=+0.0003  |dz|=0.329  7.9 it/s
step   3700  L=0.4765  src=0.0727  tgt=0.2019  trans=0.2019  gain=-0.0000  |dz|=0.666  7.9 it/s
step   3750  L=0.1239  src=0.0624  tgt=0.0308  trans=0.0307  gain=+0.0001  |dz|=0.476  7.9 it/s
step   3800  L=0.4024  src=0.0937  tgt=0.1543  trans=0.1543  gain=-0.0000  |dz|=0.636  7.9 it/s
step   3850  L=0.0943  src=0.0493  tgt=0.0225  trans=0.0225  gain=-0.0000  |dz|=0.338  7.9 it/s
step   3900  L=0.1256  src=0.0438  tgt=0.0410  trans=0.0409  gain=+0.0001  |dz|=0.363  7.9 it/s
step   3950  L=0.3607  src=0.0567  tgt=0.1519  trans=0.1520  gain=-0.0000  |dz|=0.610  7.9 it/s
step   4000  L=0.1050  src=0.0712  tgt=0.0169  trans=0.0169  gain=-0.0000  |dz|=0.407  7.9 it/s
  [diagnostics @ 4000] loss_correct=0.0766  loss_zero=0.0785  loss_shuffled=0.0809  loss_random=0.0785  loss_target_only=0.0766  loss_mean_z=0.0779  r_basis=0.0220  |dz_transport|=0.3852  z_s_vs_enc_rel=2.7697  z_spread_rel=1.2218  gain_vs_zero=0.0019  gain_vs_shuffled=0.0043  gain_vs_target_only=0.0001  gain_vs_mean_z=0.0013  delta_task=0.0013  z_center_norm=0.1361  task_specific_frac=0.6858
step   4050  L=0.1242  src=0.0775  tgt=0.0234  trans=0.0233  gain=+0.0001  |dz|=0.582  7.7 it/s
